MACHINE_ID,TIMESTAMP,MESSAGE,ERROR
224d1cf88daf44b8a20734f479a0f5ed,1677762222378466,Started SmartWireless Tunnel Daemon.,
224d1cf88daf44b8a20734f479a0f5ed,1677762223801231, config server_addr: smartconnect.smartwireless.de:5225,
224d1cf88daf44b8a20734f479a0f5ed,1677762223801231,tls_crt: /data/factory_settings/ssl/moco.crt,
224d1cf88daf44b8a20734f479a0f5ed,1677762223801231,tls_key: /data/factory_settings/ssl/moco.key,
224d1cf88daf44b8a20734f479a0f5ed,1677762223801231,root_ca: /data/factory_settings/ssl/smartconnectv2.crt,
224d1cf88daf44b8a20734f479a0f5ed,1677762223801231,backoff:,
224d1cf88daf44b8a20734f479a0f5ed,1677762223801231,  interval: 500ms,
224d1cf88daf44b8a20734f479a0f5ed,1677762223801231,  multiplier: 1.5,
224d1cf88daf44b8a20734f479a0f5ed,1677762223801231,  max_interval: 1m0s,
224d1cf88daf44b8a20734f479a0f5ed,1677762223801231,  max_time: 15m0s,
224d1cf88daf44b8a20734f479a0f5ed,1677762223801231,tunnels:,
224d1cf88daf44b8a20734f479a0f5ed,1677762223801231,  moco:,
224d1cf88daf44b8a20734f479a0f5ed,1677762223801231,    proto: sni,
224d1cf88daf44b8a20734f479a0f5ed,1677762223801231,    addr: localhost:443,
224d1cf88daf44b8a20734f479a0f5ed,1677762223801231,    host: b344f7d2-8104-4aee-aa6a-3163673b339e.taas.smartwireless.de,
224d1cf88daf44b8a20734f479a0f5ed,1677762223801231,status_port: 4044,
224d1cf88daf44b8a20734f479a0f5ed,1677762224572935, level 1 action start,MESSAGE= level 1 action start
224d1cf88daf44b8a20734f479a0f5ed,1677762224572935, level 1 action dial network tcp addr smartconnect.smartwireless.de:5225,MESSAGE= level 1 action dial network tcp addr smartconnect.smartwireless.de:5225
224d1cf88daf44b8a20734f479a0f5ed,1677762225205373, level 1 action handshake addr 185.244.193.65:5225,MESSAGE= level 1 action handshake addr 185.244.193.65:5225
224d1cf88daf44b8a20734f479a0f5ed,1677766391418390,Stopping SmartWireless Tunnel Daemon...,
224d1cf88daf44b8a20734f479a0f5ed,1677766391816135,tunnel.service: Succeeded.,
224d1cf88daf44b8a20734f479a0f5ed,1677766391836591,Stopped SmartWireless Tunnel Daemon.,
224d1cf88daf44b8a20734f479a0f5ed,1677766589859152,Started SmartWireless Tunnel Daemon.,
224d1cf88daf44b8a20734f479a0f5ed,1677766591558864, config server_addr: smartconnect.smartwireless.de:5225,
224d1cf88daf44b8a20734f479a0f5ed,1677766591558864,tls_crt: /data/factory_settings/ssl/moco.crt,
224d1cf88daf44b8a20734f479a0f5ed,1677766591558864,tls_key: /data/factory_settings/ssl/moco.key,
224d1cf88daf44b8a20734f479a0f5ed,1677766591558864,root_ca: /data/factory_settings/ssl/smartconnectv2.crt,
224d1cf88daf44b8a20734f479a0f5ed,1677766591558864,backoff:,
224d1cf88daf44b8a20734f479a0f5ed,1677766591558864,  interval: 500ms,
224d1cf88daf44b8a20734f479a0f5ed,1677766591558864,  multiplier: 1.5,
224d1cf88daf44b8a20734f479a0f5ed,1677766591558864,  max_interval: 1m0s,
224d1cf88daf44b8a20734f479a0f5ed,1677766591558864,  max_time: 15m0s,
224d1cf88daf44b8a20734f479a0f5ed,1677766591558864,tunnels:,
224d1cf88daf44b8a20734f479a0f5ed,1677766591558864,  moco:,
224d1cf88daf44b8a20734f479a0f5ed,1677766591558864,    proto: sni,
224d1cf88daf44b8a20734f479a0f5ed,1677766591558864,    addr: localhost:443,
224d1cf88daf44b8a20734f479a0f5ed,1677766591558864,    host: b344f7d2-8104-4aee-aa6a-3163673b339e.taas.smartwireless.de,
224d1cf88daf44b8a20734f479a0f5ed,1677766591558864,status_port: 4044,
224d1cf88daf44b8a20734f479a0f5ed,1677766591659603, level 1 action start,MESSAGE= level 1 action start
224d1cf88daf44b8a20734f479a0f5ed,1677766591659603, level 1 action dial network tcp addr smartconnect.smartwireless.de:5225,MESSAGE= level 1 action dial network tcp addr smartconnect.smartwireless.de:5225
224d1cf88daf44b8a20734f479a0f5ed,1677766592188023, level 1 action handshake addr 185.244.193.65:5225,MESSAGE= level 1 action handshake addr 185.244.193.65:5225
224d1cf88daf44b8a20734f479a0f5ed,1677769420041539, level 1 action disconnected,MESSAGE= level 1 action disconnected
224d1cf88daf44b8a20734f479a0f5ed,1677769420089350, level 1 action dial network tcp addr smartconnect.smartwireless.de:5225,MESSAGE= level 1 action dial network tcp addr smartconnect.smartwireless.de:5225
224d1cf88daf44b8a20734f479a0f5ed,1677769421098148, level 1 action handshake addr 185.244.193.65:5225,MESSAGE= level 1 action handshake addr 185.244.193.65:5225
224d1cf88daf44b8a20734f479a0f5ed,1677848658696155,Stopping SmartWireless Tunnel Daemon...,
224d1cf88daf44b8a20734f479a0f5ed,1677848659669241,tunnel.service: Succeeded.,
224d1cf88daf44b8a20734f479a0f5ed,1677848659676862,Stopped SmartWireless Tunnel Daemon.,
224d1cf88daf44b8a20734f479a0f5ed,1677848853284668,Started SmartWireless Tunnel Daemon.,
224d1cf88daf44b8a20734f479a0f5ed,1677848854519096, config server_addr: smartconnect.smartwireless.de:5225,
224d1cf88daf44b8a20734f479a0f5ed,1677848854519096,tls_crt: /data/factory_settings/ssl/moco.crt,
224d1cf88daf44b8a20734f479a0f5ed,1677848854519096,tls_key: /data/factory_settings/ssl/moco.key,
224d1cf88daf44b8a20734f479a0f5ed,1677848854519096,root_ca: /data/factory_settings/ssl/smartconnectv2.crt,
